,index,team1,team2
242,384,Rajasthan Royals,Delhi Daredevils
243,385,Mumbai Indians,Chennai Super Kings
244,387,Royal Challengers Bangalore,Sunrisers Hyderabad
245,388,Rajasthan Royals,Kolkata Knight Riders
246,389,Mumbai Indians,Delhi Daredevils
247,390,Kings XI Punjab,Chennai Super Kings
248,391,Kolkata Knight Riders,Royal Challengers Bangalore
249,393,Delhi Daredevils,Sunrisers Hyderabad
250,395,Royal Challengers Bangalore,Chennai Super Kings
251,396,Kolkata Knight Riders,Sunrisers Hyderabad
252,397,Kings XI Punjab,Rajasthan Royals
253,399,Kings XI Punjab,Kolkata Knight Riders
254,400,Delhi Daredevils,Royal Challengers Bangalore
255,402,Rajasthan Royals,Mumbai Indians
256,403,Chennai Super Kings,Delhi Daredevils
257,404,Kings XI Punjab,Sunrisers Hyderabad
258,405,Kolkata Knight Riders,Chennai Super Kings
259,406,Rajasthan Royals,Royal Challengers Bangalore
260,407,Mumbai Indians,Delhi Daredevils
261,409,Rajasthan Royals,Chennai Super Kings
262,411,Kings XI Punjab,Delhi Daredevils
263,412,Kolkata Knight Riders,Mumbai Indians
264,413,Sunrisers Hyderabad,Chennai Super Kings
265,414,Kings XI Punjab,Kolkata Knight Riders
266,415,Sunrisers Hyderabad,Rajasthan Royals
267,416,Mumbai Indians,Royal Challengers Bangalore
268,417,Chennai Super Kings,Kolkata Knight Riders
269,419,Royal Challengers Bangalore,Rajasthan Royals
270,420,Mumbai Indians,Kings XI Punjab
271,422,Mumbai Indians,Sunrisers Hyderabad
272,423,Kolkata Knight Riders,Delhi Daredevils
273,424,Chennai Super Kings,Kings XI Punjab
274,426,Rajasthan Royals,Kolkata Knight Riders
275,427,Delhi Daredevils,Sunrisers Hyderabad
276,428,Royal Challengers Bangalore,Kings XI Punjab
277,429,Mumbai Indians,Chennai Super Kings
278,431,Sunrisers Hyderabad,Royal Challengers Bangalore
279,432,Delhi Daredevils,Rajasthan Royals
280,433,Mumbai Indians,Kolkata Knight Riders
281,434,Chennai Super Kings,Sunrisers Hyderabad
282,435,Kings XI Punjab,Rajasthan Royals
283,437,Royal Challengers Bangalore,Delhi Daredevils
284,439,Sunrisers Hyderabad,Kings XI Punjab
285,440,Royal Challengers Bangalore,Kolkata Knight Riders
286,441,Chennai Super Kings,Rajasthan Royals
287,442,Delhi Daredevils,Kings XI Punjab
288,443,Sunrisers Hyderabad,Mumbai Indians
289,445,Chennai Super Kings,Delhi Daredevils
290,446,Mumbai Indians,Rajasthan Royals
291,447,Royal Challengers Bangalore,Kings XI Punjab
292,448,Sunrisers Hyderabad,Rajasthan Royals
293,449,Kings XI Punjab,Mumbai Indians
294,451,Royal Challengers Bangalore,Chennai Super Kings
295,452,Kolkata Knight Riders,Sunrisers Hyderabad
296,453,Chennai Super Kings,Mumbai Indians
297,454,Sunrisers Hyderabad,Rajasthan Royals
298,455,Rajasthan Royals,Mumbai Indians
299,456,Mumbai Indians,Chennai Super Kings
300,457,Kolkata Knight Riders,Mumbai Indians
301,458,Delhi Daredevils,Royal Challengers Bangalore
302,459,Chennai Super Kings,Kings XI Punjab
303,460,Sunrisers Hyderabad,Rajasthan Royals
304,461,Mumbai Indians,Royal Challengers Bangalore
305,462,Kolkata Knight Riders,Delhi Daredevils
306,463,Rajasthan Royals,Kings XI Punjab
307,464,Chennai Super Kings,Delhi Daredevils
308,465,Kings XI Punjab,Sunrisers Hyderabad
309,466,Chennai Super Kings,Rajasthan Royals
310,467,Kolkata Knight Riders,Royal Challengers Bangalore
311,468,Sunrisers Hyderabad,Delhi Daredevils
312,469,Mumbai Indians,Chennai Super Kings
313,470,Royal Challengers Bangalore,Rajasthan Royals
